Time;Source;Event
2022-10-16 00:00:00;fridge operation;START
2022-10-16 00:00:00;REFRIGERATOR;ON
2022-10-16 00:14:00;REFRIGERATOR;OFF
2022-10-16 00:14:00;fridge operation;END
2022-10-16 00:40:23;fridge operation;START
2022-10-16 00:40:23;REFRIGERATOR;ON
2022-10-16 00:54:23;REFRIGERATOR;OFF
2022-10-16 00:54:23;fridge operation;END
2022-10-16 01:57:44;fridge operation;START
2022-10-16 01:57:44;REFRIGERATOR;ON
2022-10-16 02:11:44;REFRIGERATOR;OFF
2022-10-16 02:11:44;fridge operation;END
2022-10-16 02:36:46;fridge operation;START
2022-10-16 02:36:46;REFRIGERATOR;ON
2022-10-16 02:50:46;REFRIGERATOR;OFF
2022-10-16 02:50:46;fridge operation;END
2022-10-16 03:23:37;fridge operation;START
2022-10-16 03:23:37;REFRIGERATOR;ON
2022-10-16 03:37:37;REFRIGERATOR;OFF
2022-10-16 03:37:37;fridge operation;END
2022-10-16 04:00:14;fridge operation;START
2022-10-16 04:00:14;REFRIGERATOR;ON
2022-10-16 04:14:14;REFRIGERATOR;OFF
2022-10-16 04:14:14;fridge operation;END
2022-10-16 04:41:08;fridge operation;START
2022-10-16 04:41:08;REFRIGERATOR;ON
2022-10-16 04:55:08;REFRIGERATOR;OFF
2022-10-16 04:55:08;fridge operation;END
2022-10-16 05:14:08;washing a load of laundry;START
2022-10-16 05:14:22;WASHINGMACHINE;ON
2022-10-16 05:38:57;fridge operation;START
2022-10-16 05:38:57;REFRIGERATOR;ON
2022-10-16 05:52:57;REFRIGERATOR;OFF
2022-10-16 05:52:57;fridge operation;END
2022-10-16 06:55:24;fridge operation;START
2022-10-16 06:55:24;REFRIGERATOR;ON
2022-10-16 07:09:24;REFRIGERATOR;OFF
2022-10-16 07:09:24;fridge operation;END
2022-10-16 08:17:20;fridge operation;START
2022-10-16 08:17:20;REFRIGERATOR;ON
2022-10-16 08:24:49;WASHINGMACHINE;OFF
2022-10-16 08:24:49;washing a load of laundry;END
2022-10-16 08:31:20;REFRIGERATOR;OFF
2022-10-16 08:31:20;fridge operation;END
2022-10-16 09:11:10;fridge operation;START
2022-10-16 09:11:10;REFRIGERATOR;ON
2022-10-16 09:18:59;preparing breakfast with coffee or tea and toast or eggs;START
2022-10-16 09:19:04;KETTLE;ON
2022-10-16 09:19:18;BREADCUTTER;ON
2022-10-16 09:19:23;BREADCUTTER;OFF
2022-10-16 09:19:24;TOASTER;ON
2022-10-16 09:20:04;KETTLE;OFF
2022-10-16 09:25:10;REFRIGERATOR;OFF
2022-10-16 09:25:10;fridge operation;END
2022-10-16 09:39:42;TOASTER;OFF
2022-10-16 09:39:42;preparing breakfast with coffee or tea and toast or eggs;END
2022-10-16 09:58:14;fridge operation;START
2022-10-16 09:58:14;REFRIGERATOR;ON
2022-10-16 10:01:17;listen to a 74 minute audio CD;START
2022-10-16 10:01:17;AMPLIFIER;ON
2022-10-16 10:01:23;CDPLAYER;ON
2022-10-16 10:12:14;REFRIGERATOR;OFF
2022-10-16 10:12:14;fridge operation;END
2022-10-16 10:59:35;fridge operation;START
2022-10-16 10:59:35;REFRIGERATOR;ON
2022-10-16 11:13:35;REFRIGERATOR;OFF
2022-10-16 11:13:35;fridge operation;END
2022-10-16 11:15:22;CDPLAYER;OFF
2022-10-16 11:15:26;AMPLIFIER;OFF
2022-10-16 11:15:26;listen to a 74 minute audio CD;END
2022-10-16 11:40:28;use a personal computer;START
2022-10-16 11:40:28;PC;ON
2022-10-16 11:53:56;fridge operation;START
