Time;Source;Event
2022-10-13 00:00:00;fridge operation;START
2022-10-13 00:00:00;REFRIGERATOR;ON
2022-10-13 00:13:42;REFRIGERATOR;OFF
2022-10-13 00:13:42;fridge operation;END
2022-10-13 00:53:09;fridge operation;START
2022-10-13 00:53:09;REFRIGERATOR;ON
2022-10-13 01:06:51;REFRIGERATOR;OFF
2022-10-13 01:06:51;fridge operation;END
2022-10-13 01:42:07;fridge operation;START
2022-10-13 01:42:07;REFRIGERATOR;ON
2022-10-13 01:55:49;REFRIGERATOR;OFF
2022-10-13 01:55:49;fridge operation;END
2022-10-13 02:05:22;washing a load of laundry;START
2022-10-13 02:05:29;WASHINGMACHINE;ON
2022-10-13 02:17:53;fridge operation;START
2022-10-13 02:17:53;REFRIGERATOR;ON
2022-10-13 02:31:35;REFRIGERATOR;OFF
2022-10-13 02:31:35;fridge operation;END
2022-10-13 03:17:51;fridge operation;START
2022-10-13 03:17:51;REFRIGERATOR;ON
2022-10-13 03:31:33;REFRIGERATOR;OFF
2022-10-13 03:31:33;fridge operation;END
2022-10-13 04:19:32;fridge operation;START
2022-10-13 04:19:32;REFRIGERATOR;ON
2022-10-13 04:33:14;REFRIGERATOR;OFF
2022-10-13 04:33:14;fridge operation;END
2022-10-13 05:15:56;WASHINGMACHINE;OFF
2022-10-13 05:15:56;washing a load of laundry;END
2022-10-13 05:18:36;fridge operation;START
2022-10-13 05:18:36;REFRIGERATOR;ON
2022-10-13 05:32:18;REFRIGERATOR;OFF
2022-10-13 05:32:18;fridge operation;END
2022-10-13 06:40:27;fridge operation;START
2022-10-13 06:40:27;REFRIGERATOR;ON
2022-10-13 06:54:09;REFRIGERATOR;OFF
2022-10-13 06:54:09;fridge operation;END
2022-10-13 07:23:27;fridge operation;START
2022-10-13 07:23:27;REFRIGERATOR;ON
2022-10-13 07:37:09;REFRIGERATOR;OFF
2022-10-13 07:37:09;fridge operation;END
2022-10-13 08:00:15;preparing breakfast with coffee or tea and toast or eggs;START
2022-10-13 08:00:20;COFFEEMAKER;ON
2022-10-13 08:00:32;BREADCUTTER;ON
2022-10-13 08:00:37;BREADCUTTER;OFF
2022-10-13 08:00:38;TOASTER;ON
2022-10-13 08:02:34;TOASTER;OFF
2022-10-13 08:14:00;COFFEEMAKER;OFF
2022-10-13 08:14:00;preparing breakfast with coffee or tea and toast or eggs;END
2022-10-13 08:47:37;fridge operation;START
2022-10-13 08:47:37;REFRIGERATOR;ON
2022-10-13 09:00:00;use a personal computer;START
2022-10-13 09:00:00;PC;ON
2022-10-13 09:01:19;REFRIGERATOR;OFF
2022-10-13 09:01:19;fridge operation;END
2022-10-13 09:31:25;PC;OFF
2022-10-13 09:31:25;use a personal computer;END
2022-10-13 09:49:42;fridge operation;START
