Time;Source;Event
2022-10-13 00:37:31;fridge operation;START
2022-10-13 00:37:31;REFRIGERATOR;ON
2022-10-13 00:51:13;REFRIGERATOR;OFF
2022-10-13 00:51:13;fridge operation;END
2022-10-13 01:06:10;washing a load of laundry;START
2022-10-13 01:06:20;WASHINGMACHINE;ON
2022-10-13 01:48:36;fridge operation;START
2022-10-13 01:48:36;REFRIGERATOR;ON
2022-10-13 02:02:18;REFRIGERATOR;OFF
2022-10-13 02:02:18;fridge operation;END
2022-10-13 02:59:22;fridge operation;START
2022-10-13 02:59:22;REFRIGERATOR;ON
2022-10-13 03:13:04;REFRIGERATOR;OFF
2022-10-13 03:13:04;fridge operation;END
2022-10-13 03:40:10;fridge operation;START
2022-10-13 03:40:10;REFRIGERATOR;ON
2022-10-13 03:53:52;REFRIGERATOR;OFF
2022-10-13 03:53:52;fridge operation;END
2022-10-13 04:16:47;WASHINGMACHINE;OFF
2022-10-13 04:16:47;washing a load of laundry;END
2022-10-13 04:38:25;fridge operation;START
2022-10-13 04:38:25;REFRIGERATOR;ON
2022-10-13 04:52:07;REFRIGERATOR;OFF
2022-10-13 04:52:07;fridge operation;END
2022-10-13 05:10:02;fridge operation;START
2022-10-13 05:10:02;REFRIGERATOR;ON
2022-10-13 05:23:44;REFRIGERATOR;OFF
2022-10-13 05:23:44;fridge operation;END
2022-10-13 06:46:44;fridge operation;START
2022-10-13 06:46:44;REFRIGERATOR;ON
2022-10-13 07:00:26;REFRIGERATOR;OFF
2022-10-13 07:00:26;fridge operation;END
2022-10-13 07:59:45;fridge operation;START
2022-10-13 07:59:45;REFRIGERATOR;ON
2022-10-13 08:08:26;preparing breakfast with coffee or tea and toast or eggs;START
2022-10-13 08:08:31;COFFEEMAKER;ON
2022-10-13 08:08:44;COOKINGSTOVE;ON
2022-10-13 08:13:27;REFRIGERATOR;OFF
2022-10-13 08:13:27;fridge operation;END
2022-10-13 08:18:02;COOKINGSTOVE;OFF
2022-10-13 08:22:11;COFFEEMAKER;OFF
2022-10-13 08:22:11;preparing breakfast with coffee or tea and toast or eggs;END
2022-10-13 08:22:44;preparing breakfast with coffee or tea and toast or eggs;START
2022-10-13 08:22:49;COFFEEMAKER;ON
2022-10-13 08:22:59;COOKINGSTOVE;ON
2022-10-13 08:29:00;preparing breakfast with coffee or tea and toast or eggs;START
2022-10-13 08:29:05;KETTLE;ON
2022-10-13 08:29:20;BREADCUTTER;ON
2022-10-13 08:29:25;BREADCUTTER;OFF
2022-10-13 08:29:26;BREADCUTTER;ON
2022-10-13 08:29:31;BREADCUTTER;OFF
2022-10-13 08:29:32;BREADCUTTER;ON
2022-10-13 08:29:37;BREADCUTTER;OFF
2022-10-13 08:29:38;TOASTER;ON
2022-10-13 08:31:08;KETTLE;OFF
2022-10-13 08:31:34;TOASTER;OFF
