Time;Source;Event
2022-10-13 00:24:54;fridge operation;START
2022-10-13 00:24:54;REFRIGERATOR;ON
2022-10-13 00:38:54;REFRIGERATOR;OFF
2022-10-13 00:38:54;fridge operation;END
2022-10-13 01:46:21;fridge operation;START
2022-10-13 01:46:21;REFRIGERATOR;ON
2022-10-13 02:00:21;REFRIGERATOR;OFF
2022-10-13 02:00:21;fridge operation;END
2022-10-13 02:57:52;fridge operation;START
2022-10-13 02:57:52;REFRIGERATOR;ON
2022-10-13 03:11:52;REFRIGERATOR;OFF
2022-10-13 03:11:52;fridge operation;END
2022-10-13 03:30:11;washing a load of laundry;START
2022-10-13 03:30:16;WASHINGMACHINE;ON
2022-10-13 03:31:41;fridge operation;START
2022-10-13 03:31:41;REFRIGERATOR;ON
2022-10-13 03:45:41;REFRIGERATOR;OFF
2022-10-13 03:45:41;fridge operation;END
2022-10-13 04:08:10;fridge operation;START
2022-10-13 04:08:10;REFRIGERATOR;ON
2022-10-13 04:22:10;REFRIGERATOR;OFF
2022-10-13 04:22:10;fridge operation;END
2022-10-13 05:01:40;fridge operation;START
2022-10-13 05:01:40;REFRIGERATOR;ON
2022-10-13 05:15:40;REFRIGERATOR;OFF
2022-10-13 05:15:40;fridge operation;END
2022-10-13 06:06:48;fridge operation;START
2022-10-13 06:06:48;REFRIGERATOR;ON
2022-10-13 06:20:48;REFRIGERATOR;OFF
2022-10-13 06:20:48;fridge operation;END
2022-10-13 06:40:43;WASHINGMACHINE;OFF
2022-10-13 06:40:43;washing a load of laundry;END
2022-10-13 07:17:14;fridge operation;START
2022-10-13 07:17:14;REFRIGERATOR;ON
2022-10-13 07:31:14;REFRIGERATOR;OFF
2022-10-13 07:31:14;fridge operation;END
2022-10-13 08:08:59;fridge operation;START
2022-10-13 08:08:59;REFRIGERATOR;ON
2022-10-13 08:22:59;REFRIGERATOR;OFF
2022-10-13 08:22:59;fridge operation;END
2022-10-13 09:13:05;preparing breakfast with coffee or tea and toast or eggs;START
2022-10-13 09:13:10;COFFEEMAKER;ON
2022-10-13 09:13:23;COOKINGSTOVE;ON
2022-10-13 09:14:13;fridge operation;START
2022-10-13 09:14:13;REFRIGERATOR;ON
2022-10-13 09:22:41;COOKINGSTOVE;OFF
2022-10-13 09:28:13;REFRIGERATOR;OFF
2022-10-13 09:28:13;fridge operation;END
2022-10-13 09:33:00;listen to a 74 minute audio CD;START
2022-10-13 09:33:00;AMPLIFIER;ON
2022-10-13 09:33:10;CDPLAYER;ON
2022-10-13 09:39:18;COFFEEMAKER;OFF
2022-10-13 09:39:18;preparing breakfast with coffee or tea and toast or eggs;END
2022-10-13 10:24:58;fridge operation;START
2022-10-13 10:24:58;REFRIGERATOR;ON
2022-10-13 10:38:58;REFRIGERATOR;OFF
2022-10-13 10:38:58;fridge operation;END
2022-10-13 10:47:09;AMPLIFIER;OFF
2022-10-13 10:47:09;CDPLAYER;OFF
2022-10-13 10:47:09;listen to a 74 minute audio CD;END
2022-10-13 11:48:41;fridge operation;START
2022-10-13 11:48:41;REFRIGERATOR;ON
2022-10-13 11:56:29;use a personal computer;START
2022-10-13 11:56:29;PC;ON
2022-10-13 12:02:41;REFRIGERATOR;OFF
2022-10-13 12:02:41;fridge operation;END
2022-10-13 12:48:07;fridge operation;START
2022-10-13 12:48:07;REFRIGERATOR;ON
2022-10-13 13:02:07;REFRIGERATOR;OFF
2022-10-13 13:02:07;fridge operation;END
2022-10-13 13:11:48;PC;OFF
2022-10-13 13:11:48;use a personal computer;END
2022-10-13 13:45:54;microwaving food;START
2022-10-13 13:45:54;MICROWAVE;ON
2022-10-13 13:50:43;MICROWAVE;OFF
2022-10-13 13:50:43;microwaving food;END
2022-10-13 13:54:15;fridge operation;START
2022-10-13 13:54:15;REFRIGERATOR;ON
2022-10-13 14:00:37;vacuuming;START
2022-10-13 14:00:37;VACUUMCLEANER;ON
2022-10-13 14:08:15;REFRIGERATOR;OFF
2022-10-13 14:08:15;fridge operation;END
2022-10-13 14:12:37;VACUUMCLEANER;OFF
2022-10-13 14:12:37;vacuuming;END
2022-10-13 14:20:59;vacuuming;START
2022-10-13 14:20:59;VACUUMCLEANER;ON
2022-10-13 14:32:59;VACUUMCLEANER;OFF
2022-10-13 14:32:59;vacuuming;END
2022-10-13 14:41:41;use a personal computer;START
2022-10-13 14:41:41;PC;ON
2022-10-13 14:47:34;fridge operation;START
2022-10-13 14:47:34;REFRIGERATOR;ON
2022-10-13 15:01:34;REFRIGERATOR;OFF
2022-10-13 15:01:34;fridge operation;END
2022-10-13 15:42:57;fridge operation;START
2022-10-13 15:42:57;REFRIGERATOR;ON
2022-10-13 15:56:57;REFRIGERATOR;OFF
2022-10-13 15:56:57;fridge operation;END
2022-10-13 15:57:00;PC;OFF
2022-10-13 15:57:00;use a personal computer;END
2022-10-13 15:57:01;use a personal computer;START
2022-10-13 15:57:01;PC;ON
2022-10-13 17:01:17;fridge operation;START
2022-10-13 17:01:17;REFRIGERATOR;ON
2022-10-13 17:12:20;PC;OFF
2022-10-13 17:12:20;use a personal computer;END
2022-10-13 17:15:17;REFRIGERATOR;OFF
2022-10-13 17:15:17;fridge operation;END
2022-10-13 17:46:31;use a personal computer;START
2022-10-13 17:46:31;PC;ON
2022-10-13 18:29:24;fridge operation;START
2022-10-13 18:29:24;REFRIGERATOR;ON
2022-10-13 18:43:24;REFRIGERATOR;OFF
2022-10-13 18:43:24;fridge operation;END
2022-10-13 19:01:50;PC;OFF
2022-10-13 19:01:50;use a personal computer;END
2022-10-13 19:09:55;use a personal computer;START
2022-10-13 19:09:55;PC;ON
