Time;Source;Event
2022-10-13 00:00:00;fridge operation;START
2022-10-13 00:00:00;REFRIGERATOR;ON
2022-10-13 00:13:42;REFRIGERATOR;OFF
2022-10-13 00:13:42;fridge operation;END
2022-10-13 00:44:04;fridge operation;START
2022-10-13 00:44:04;REFRIGERATOR;ON
2022-10-13 00:57:46;REFRIGERATOR;OFF
2022-10-13 00:57:46;fridge operation;END
2022-10-13 01:20:59;fridge operation;START
2022-10-13 01:20:59;REFRIGERATOR;ON
2022-10-13 01:34:41;REFRIGERATOR;OFF
2022-10-13 01:34:41;fridge operation;END
2022-10-13 01:49:48;washing a load of laundry;START
2022-10-13 01:49:54;DRYER;ON
2022-10-13 02:09:28;fridge operation;START
2022-10-13 02:09:28;REFRIGERATOR;ON
2022-10-13 02:23:10;REFRIGERATOR;OFF
2022-10-13 02:23:10;fridge operation;END
2022-10-13 03:04:34;fridge operation;START
2022-10-13 03:04:34;REFRIGERATOR;ON
2022-10-13 03:18:16;REFRIGERATOR;OFF
2022-10-13 03:18:16;fridge operation;END
2022-10-13 03:40:31;fridge operation;START
2022-10-13 03:40:31;REFRIGERATOR;ON
2022-10-13 03:54:13;REFRIGERATOR;OFF
2022-10-13 03:54:13;fridge operation;END
2022-10-13 04:33:54;fridge operation;START
2022-10-13 04:33:54;REFRIGERATOR;ON
2022-10-13 04:47:36;REFRIGERATOR;OFF
2022-10-13 04:47:36;fridge operation;END
2022-10-13 05:19:34;DRYER;OFF
2022-10-13 05:19:34;washing a load of laundry;END
2022-10-13 05:58:53;fridge operation;START
2022-10-13 05:58:53;REFRIGERATOR;ON
2022-10-13 06:12:35;REFRIGERATOR;OFF
2022-10-13 06:12:35;fridge operation;END
2022-10-13 06:47:53;fridge operation;START
2022-10-13 06:47:53;REFRIGERATOR;ON
2022-10-13 06:52:08;preparing breakfast with coffee or tea and toast or eggs;START
2022-10-13 06:52:13;COFFEEMAKER;ON
2022-10-13 06:52:28;COOKINGSTOVE;ON
2022-10-13 06:59:28;COOKINGSTOVE;OFF
2022-10-13 07:01:35;REFRIGERATOR;OFF
2022-10-13 07:01:35;fridge operation;END
2022-10-13 07:05:53;COFFEEMAKER;OFF
2022-10-13 07:05:53;preparing breakfast with coffee or tea and toast or eggs;END
2022-10-13 08:04:09;fridge operation;START
2022-10-13 08:04:09;REFRIGERATOR;ON
2022-10-13 08:17:51;REFRIGERATOR;OFF
2022-10-13 08:17:51;fridge operation;END
2022-10-13 09:27:40;washing a load of laundry;START
2022-10-13 09:27:51;WASHINGMACHINE;ON
2022-10-13 09:44:50;fridge operation;START
2022-10-13 09:44:50;REFRIGERATOR;ON
2022-10-13 09:58:32;REFRIGERATOR;OFF
2022-10-13 09:58:32;fridge operation;END
2022-10-13 10:41:25;fridge operation;START
