Time;Source;Event
2022-10-16 00:00:00;fridge operation;START
2022-10-16 00:00:00;REFRIGERATOR;ON
2022-10-16 00:14:00;REFRIGERATOR;OFF
2022-10-16 00:14:00;fridge operation;END
2022-10-16 00:44:02;fridge operation;START
2022-10-16 00:44:02;REFRIGERATOR;ON
2022-10-16 00:58:02;REFRIGERATOR;OFF
2022-10-16 00:58:02;fridge operation;END
2022-10-16 01:50:02;fridge operation;START
2022-10-16 01:50:02;REFRIGERATOR;ON
2022-10-16 02:04:02;REFRIGERATOR;OFF
2022-10-16 02:04:02;fridge operation;END
2022-10-16 02:12:32;washing a load of laundry;START
2022-10-16 02:12:37;DRYER;ON
2022-10-16 02:56:35;fridge operation;START
2022-10-16 02:56:35;REFRIGERATOR;ON
2022-10-16 03:10:35;REFRIGERATOR;OFF
2022-10-16 03:10:35;fridge operation;END
2022-10-16 03:59:06;fridge operation;START
2022-10-16 03:59:06;REFRIGERATOR;ON
2022-10-16 04:13:06;REFRIGERATOR;OFF
2022-10-16 04:13:06;fridge operation;END
2022-10-16 05:09:52;fridge operation;START
2022-10-16 05:09:52;REFRIGERATOR;ON
2022-10-16 05:23:52;REFRIGERATOR;OFF
2022-10-16 05:23:52;fridge operation;END
2022-10-16 05:42:17;DRYER;OFF
2022-10-16 05:42:17;washing a load of laundry;END
2022-10-16 06:30:47;fridge operation;START
2022-10-16 06:30:47;REFRIGERATOR;ON
2022-10-16 06:44:47;REFRIGERATOR;OFF
2022-10-16 06:44:47;fridge operation;END
2022-10-16 06:53:22;preparing breakfast with coffee or tea and toast or eggs;START
2022-10-16 06:53:27;COFFEEMAKER;ON
2022-10-16 06:53:41;BREADCUTTER;ON
2022-10-16 06:53:46;BREADCUTTER;OFF
2022-10-16 06:53:47;TOASTER;ON
2022-10-16 06:55:43;TOASTER;OFF
2022-10-16 07:07:07;COFFEEMAKER;OFF
2022-10-16 07:07:07;preparing breakfast with coffee or tea and toast or eggs;END
2022-10-16 07:18:51;fridge operation;START
2022-10-16 07:18:51;REFRIGERATOR;ON
2022-10-16 07:32:51;REFRIGERATOR;OFF
2022-10-16 07:32:51;fridge operation;END
2022-10-16 08:26:35;fridge operation;START
2022-10-16 08:26:35;REFRIGERATOR;ON
2022-10-16 08:40:35;REFRIGERATOR;OFF
2022-10-16 08:40:35;fridge operation;END
2022-10-16 09:14:26;fridge operation;START
2022-10-16 09:14:26;REFRIGERATOR;ON
2022-10-16 09:28:26;REFRIGERATOR;OFF
2022-10-16 09:28:26;fridge operation;END
2022-10-16 09:56:54;fridge operation;START
2022-10-16 09:56:54;REFRIGERATOR;ON
2022-10-16 10:10:54;REFRIGERATOR;OFF
2022-10-16 10:10:54;fridge operation;END
2022-10-16 10:47:22;watching TV;START
2022-10-16 10:47:22;TV;ON
2022-10-16 11:15:51;fridge operation;START
2022-10-16 11:15:51;REFRIGERATOR;ON
2022-10-16 11:29:51;REFRIGERATOR;OFF
2022-10-16 11:29:51;fridge operation;END
2022-10-16 11:45:53;use a personal computer;START
2022-10-16 11:45:53;PC;ON
2022-10-16 12:09:13;fridge operation;START
2022-10-16 12:09:13;REFRIGERATOR;ON
2022-10-16 12:20:29;TV;OFF
2022-10-16 12:20:30;TV;ON
2022-10-16 12:23:13;REFRIGERATOR;OFF
2022-10-16 12:23:13;fridge operation;END
2022-10-16 12:41:58;TV;OFF
2022-10-16 12:41:58;watching TV;END
2022-10-16 13:01:12;PC;OFF
2022-10-16 13:01:12;use a personal computer;END
2022-10-16 13:07:18;fridge operation;START
