Time;Source;Event
2022-10-16 00:00:00;fridge operation;START
2022-10-16 00:00:00;REFRIGERATOR;ON
2022-10-16 00:13:42;REFRIGERATOR;OFF
2022-10-16 00:13:42;fridge operation;END
2022-10-16 00:35:51;fridge operation;START
2022-10-16 00:35:51;REFRIGERATOR;ON
2022-10-16 00:49:33;REFRIGERATOR;OFF
2022-10-16 00:49:33;fridge operation;END
2022-10-16 01:33:20;fridge operation;START
2022-10-16 01:33:20;REFRIGERATOR;ON
2022-10-16 01:47:02;REFRIGERATOR;OFF
2022-10-16 01:47:02;fridge operation;END
2022-10-16 02:14:09;fridge operation;START
2022-10-16 02:14:09;REFRIGERATOR;ON
2022-10-16 02:27:51;REFRIGERATOR;OFF
2022-10-16 02:27:51;fridge operation;END
2022-10-16 02:46:23;fridge operation;START
2022-10-16 02:46:23;REFRIGERATOR;ON
2022-10-16 03:00:05;REFRIGERATOR;OFF
2022-10-16 03:00:05;fridge operation;END
2022-10-16 03:29:30;fridge operation;START
2022-10-16 03:29:30;REFRIGERATOR;ON
2022-10-16 03:43:12;REFRIGERATOR;OFF
2022-10-16 03:43:12;fridge operation;END
2022-10-16 04:47:07;fridge operation;START
2022-10-16 04:47:07;REFRIGERATOR;ON
2022-10-16 05:00:49;REFRIGERATOR;OFF
2022-10-16 05:00:49;fridge operation;END
2022-10-16 05:24:17;washing a load of laundry;START
2022-10-16 05:24:30;WASHINGMACHINE;ON
2022-10-16 05:47:40;fridge operation;START
2022-10-16 05:47:40;REFRIGERATOR;ON
2022-10-16 06:01:22;REFRIGERATOR;OFF
2022-10-16 06:01:22;fridge operation;END
2022-10-16 07:02:49;fridge operation;START
2022-10-16 07:02:49;REFRIGERATOR;ON
2022-10-16 07:16:31;REFRIGERATOR;OFF
2022-10-16 07:16:31;fridge operation;END
2022-10-16 07:48:44;preparing breakfast with coffee or tea and toast or eggs;START
2022-10-16 07:48:49;COFFEEMAKER;ON
2022-10-16 07:49:02;BREADCUTTER;ON
2022-10-16 07:49:07;BREADCUTTER;OFF
2022-10-16 07:49:08;TOASTER;ON
2022-10-16 08:02:29;COFFEEMAKER;OFF
2022-10-16 08:03:13;fridge operation;START
2022-10-16 08:03:13;REFRIGERATOR;ON
2022-10-16 08:09:26;TOASTER;OFF
2022-10-16 08:09:26;preparing breakfast with coffee or tea and toast or eggs;END
2022-10-16 08:10:40;preparing breakfast with coffee or tea and toast or eggs;START
2022-10-16 08:10:45;COFFEEMAKER;ON
2022-10-16 08:11:00;BREADCUTTER;ON
2022-10-16 08:11:02;preparing breakfast with coffee or tea and toast or eggs;START
2022-10-16 08:11:05;BREADCUTTER;OFF
2022-10-16 08:11:06;TOASTER;ON
2022-10-16 08:11:07;COFFEEMAKER;ON
2022-10-16 08:11:21;BREADCUTTER;ON
2022-10-16 08:11:26;BREADCUTTER;OFF
2022-10-16 08:11:27;TOASTER;ON
2022-10-16 08:16:55;REFRIGERATOR;OFF
2022-10-16 08:16:55;fridge operation;END
2022-10-16 08:24:25;COFFEEMAKER;OFF
2022-10-16 08:24:47;COFFEEMAKER;OFF
2022-10-16 08:31:24;TOASTER;OFF
2022-10-16 08:31:24;preparing breakfast with coffee or tea and toast or eggs;END
2022-10-16 08:31:45;TOASTER;OFF
2022-10-16 08:31:45;preparing breakfast with coffee or tea and toast or eggs;END
2022-10-16 08:34:57;WASHINGMACHINE;OFF
2022-10-16 08:34:57;washing a load of laundry;END
2022-10-16 08:50:18;fridge operation;START
2022-10-16 08:50:18;REFRIGERATOR;ON
2022-10-16 09:01:16;use a personal computer;START
