Time;Source;Event
2022-10-16 00:12:43;fridge operation;START
2022-10-16 00:12:43;REFRIGERATOR;ON
2022-10-16 00:26:25;REFRIGERATOR;OFF
2022-10-16 00:26:25;fridge operation;END
2022-10-16 01:06:56;fridge operation;START
2022-10-16 01:06:56;REFRIGERATOR;ON
2022-10-16 01:20:38;REFRIGERATOR;OFF
2022-10-16 01:20:38;fridge operation;END
2022-10-16 02:13:37;fridge operation;START
2022-10-16 02:13:37;REFRIGERATOR;ON
2022-10-16 02:27:19;REFRIGERATOR;OFF
2022-10-16 02:27:19;fridge operation;END
2022-10-16 02:53:43;fridge operation;START
2022-10-16 02:53:43;REFRIGERATOR;ON
2022-10-16 03:07:25;REFRIGERATOR;OFF
2022-10-16 03:07:25;fridge operation;END
2022-10-16 03:50:21;fridge operation;START
2022-10-16 03:50:21;REFRIGERATOR;ON
2022-10-16 04:04:03;REFRIGERATOR;OFF
2022-10-16 04:04:03;fridge operation;END
2022-10-16 04:38:34;fridge operation;START
2022-10-16 04:38:34;REFRIGERATOR;ON
2022-10-16 04:45:16;dishwasher operation;START
2022-10-16 04:45:24;DISHWASHER;ON
2022-10-16 04:52:16;REFRIGERATOR;OFF
2022-10-16 04:52:16;fridge operation;END
2022-10-16 05:30:00;fridge operation;START
2022-10-16 05:30:00;REFRIGERATOR;ON
2022-10-16 05:43:42;REFRIGERATOR;OFF
2022-10-16 05:43:42;fridge operation;END
2022-10-16 05:52:40;DISHWASHER;OFF
2022-10-16 05:52:40;dishwasher operation;END
2022-10-16 06:30:39;fridge operation;START
2022-10-16 06:30:39;REFRIGERATOR;ON
2022-10-16 06:44:21;REFRIGERATOR;OFF
2022-10-16 06:44:21;fridge operation;END
2022-10-16 07:53:49;fridge operation;START
2022-10-16 07:53:49;REFRIGERATOR;ON
2022-10-16 08:06:24;preparing breakfast with coffee or tea and toast or eggs;START
2022-10-16 08:06:29;COFFEEMAKER;ON
2022-10-16 08:06:39;BREADCUTTER;ON
2022-10-16 08:06:44;BREADCUTTER;OFF
2022-10-16 08:06:45;TOASTER;ON
2022-10-16 08:07:31;REFRIGERATOR;OFF
2022-10-16 08:07:31;fridge operation;END
2022-10-16 08:08:16;preparing breakfast with coffee or tea and toast or eggs;START
2022-10-16 08:08:21;COFFEEMAKER;ON
2022-10-16 08:08:32;BREADCUTTER;ON
2022-10-16 08:08:37;BREADCUTTER;OFF
2022-10-16 08:08:38;TOASTER;ON
2022-10-16 08:20:09;COFFEEMAKER;OFF
2022-10-16 08:22:01;COFFEEMAKER;OFF
2022-10-16 08:27:03;TOASTER;OFF
2022-10-16 08:27:03;preparing breakfast with coffee or tea and toast or eggs;END
2022-10-16 08:28:56;TOASTER;OFF
2022-10-16 08:28:56;preparing breakfast with coffee or tea and toast or eggs;END
2022-10-16 08:29:20;preparing breakfast with coffee or tea and toast or eggs;START
2022-10-16 08:29:25;KETTLE;ON
2022-10-16 08:29:39;BREADCUTTER;ON
2022-10-16 08:29:44;BREADCUTTER;OFF
2022-10-16 08:29:45;BREADCUTTER;ON
2022-10-16 08:29:50;BREADCUTTER;OFF
2022-10-16 08:29:51;TOASTER;ON
2022-10-16 08:30:25;KETTLE;OFF
2022-10-16 08:35:26;preparing breakfast with coffee or tea and toast or eggs;START
2022-10-16 08:35:31;COFFEEMAKER;ON
2022-10-16 08:35:44;COOKINGSTOVE;ON
2022-10-16 08:42:44;COOKINGSTOVE;OFF
2022-10-16 08:49:11;COFFEEMAKER;OFF
2022-10-16 08:49:11;preparing breakfast with coffee or tea and toast or eggs;END
2022-10-16 08:50:09;TOASTER;OFF
2022-10-16 08:50:09;preparing breakfast with coffee or tea and toast or eggs;END
2022-10-16 09:02:21;vacuuming;START
2022-10-16 09:02:21;VACUUMCLEANER;ON
2022-10-16 09:02:46;fridge operation;START
2022-10-16 09:02:46;REFRIGERATOR;ON
2022-10-16 09:14:21;VACUUMCLEANER;OFF
2022-10-16 09:14:21;vacuuming;END
2022-10-16 09:14:22;washing a load of laundry;START
2022-10-16 09:14:37;use a personal computer;START
2022-10-16 09:14:37;DRYER;ON
2022-10-16 09:14:37;PC;ON
2022-10-16 09:16:28;REFRIGERATOR;OFF
2022-10-16 09:16:28;fridge operation;END
2022-10-16 09:32:11;fridge operation;START
2022-10-16 09:32:11;REFRIGERATOR;ON
2022-10-16 09:45:53;REFRIGERATOR;OFF
2022-10-16 09:45:53;fridge operation;END
2022-10-16 10:12:01;fridge operation;START
2022-10-16 10:12:01;REFRIGERATOR;ON
2022-10-16 10:25:43;REFRIGERATOR;OFF
2022-10-16 10:25:43;fridge operation;END
2022-10-16 10:29:56;PC;OFF
2022-10-16 10:29:56;use a personal computer;END
2022-10-16 10:36:28;use a personal computer;START
2022-10-16 10:36:28;PC;ON
2022-10-16 11:01:55;fridge operation;START
2022-10-16 11:01:55;REFRIGERATOR;ON
2022-10-16 11:15:37;REFRIGERATOR;OFF
2022-10-16 11:15:37;fridge operation;END
2022-10-16 11:51:47;PC;OFF
2022-10-16 11:51:47;use a personal computer;END
2022-10-16 12:05:20;dishwasher operation;START
2022-10-16 12:05:28;DISHWASHER;ON
2022-10-16 12:09:15;fridge operation;START
2022-10-16 12:09:15;REFRIGERATOR;ON
2022-10-16 12:22:57;REFRIGERATOR;OFF
2022-10-16 12:22:57;fridge operation;END
2022-10-16 12:57:21;use a personal computer;START
2022-10-16 12:57:21;PC;ON
2022-10-16 13:07:42;fridge operation;START
2022-10-16 13:07:42;REFRIGERATOR;ON
2022-10-16 13:12:44;DISHWASHER;OFF
2022-10-16 13:12:44;dishwasher operation;END
